id,IRRRE,IRRRI,length_km
1,DK1,DK2,178.677
2,DK1,DE4-N,221.771
3,DK1,NL,499.657
4,DK1,NO2,363.983
5,DK1,SE3,480.303
6,DK1,UK,777.484
7,DK2,DK1,178.677
8,DK2,DE4-E,357.342
9,DK2,SE4,204.912
10,FIN,NO4,582.003
11,FIN,SE1,384.617
12,FIN,SE3,828.490
13,FIN,EE,651.506
14,DE4-E,DK2,357.342
15,DE4-E,DE4-N,282.503
16,DE4-E,DE4-S,398.296
17,DE4-E,DE4-W,275.412
18,DE4-E,SE4,516.790
19,DE4-E,PL,468.980
20,DE4-E,CZ,335.992
21,DE4-N,DK1,221.771
22,DE4-N,DE4-E,282.503
23,DE4-N,DE4-W,262.887
24,DE4-N,NO2,582.683
25,DE4-N,SE4,402.061
26,DE4-S,DE4-E,398.296
27,DE4-S,DE4-W,346.830
28,DE4-S,BE,435.344
29,DE4-S,FR,626.850
30,DE4-S,CH,279.412
31,DE4-S,AT,334.231
32,DE4-S,CZ,387.995
33,DE4-W,DE4-E,275.412
34,DE4-W,DE4-N,262.887
35,DE4-W,DE4-S,346.830
36,DE4-W,NL,207.638
37,DE4-W,BE,305.759
38,DE4-W,LU,295.465
39,NL,DK1,499.657
40,NL,DE4-W,207.638
41,NL,UK,513.128
42,NL,BE,191.299
43,NO1,NO2,238.234
44,NO1,NO3,236.229
45,NO1,NO5,196.658
46,NO1,SE3,268.787
47,NO2,DK1,363.983
48,NO2,DE4-N,582.683
49,NO2,NO1,238.234
50,NO2,NO5,168.062
51,NO2,UK,853.274
52,NO3,NO1,236.229
53,NO3,NO4,827.284
54,NO3,NO5,257.839
55,NO3,SE2,335.630
56,NO4,FIN,582.003
57,NO4,NO3,827.284
58,NO4,SE1,252.184
59,NO4,SE2,642.758
60,NO5,NO1,196.658
61,NO5,NO2,168.062
62,NO5,NO3,257.839
63,SE1,FIN,384.617
64,SE1,NO4,252.184
65,SE1,SE2,415.675
66,SE2,NO3,335.630
67,SE2,NO4,642.758
68,SE2,SE1,415.675
69,SE2,SE3,445.076
70,SE3,DK1,480.303
71,SE3,FIN,828.490
72,SE3,NO1,268.787
73,SE3,SE2,445.076
74,SE3,SE4,299.648
75,SE3,EE,625.799
76,SE3,LV,663.919
77,SE4,DK2,204.912
78,SE4,DE4-E,516.790
79,SE4,DE4-N,402.061
80,SE4,SE3,299.648
81,SE4,LT,619.396
82,SE4,PL,609.555
83,UK,DK1,777.484
84,UK,NL,513.128
85,UK,NO2,853.274
86,UK,BE,544.605
87,UK,FR,833.848
88,UK,IE,402.047
89,EE,FIN,651.506
90,EE,SE3,625.799
91,EE,LV,205.720
92,LV,SE3,663.919
93,LV,EE,205.720
94,LV,LT,180.756
95,LT,SE4,619.396
96,LT,LV,180.756
97,LT,PL,464.451
98,PL,DE4-E,468.980
99,PL,SE4,609.555
100,PL,LT,464.451
101,PL,CZ,390.034
102,PL,SK,380.992
103,BE,DE4-S,435.344
104,BE,DE4-W,305.759
105,BE,NL,191.299
106,BE,UK,544.605
107,BE,FR,479.779
108,BE,LU,139.927
109,FR,DE4-S,626.850
110,FR,UK,833.848
111,FR,BE,479.779
112,FR,IT,885.294
113,FR,CH,433.913
114,FR,ES,864.065
115,FR,LU,442.306
116,IT,FR,885.294
117,IT,CH,552.513
118,IT,AT,543.801
119,IT,SI,409.745
120,IT,HR,417.562
121,IT,GR,924.944
122,IT,AL,657.848
123,IT,ME,555.573
124,CH,DE4-S,279.412
125,CH,FR,433.913
126,CH,IT,552.513
127,CH,AT,456.610
128,AT,DE4-S,334.231
129,AT,IT,543.801
130,AT,CH,456.610
131,AT,CZ,255.400
132,AT,SK,416.997
133,AT,HU,400.394
134,AT,SI,171.339
135,CZ,DE4-E,335.992
136,CZ,DE4-S,387.995
137,CZ,PL,390.034
138,CZ,AT,255.400
139,CZ,SK,323.458
140,ES,FR,864.065
141,ES,PT,428.142
142,PT,ES,428.142
143,SK,PL,380.992
144,SK,AT,416.997
145,SK,CZ,323.458
146,SK,HU,171.533
147,HU,AT,400.394
148,HU,SK,171.533
149,HU,SI,370.049
150,HU,HR,313.077
151,HU,RO,451.942
152,HU,RS,344.507
153,SI,IT,409.745
154,SI,AT,171.339
155,SI,HU,370.049
156,SI,HR,115.217
157,HR,IT,417.562
158,HR,HU,313.077
159,HR,SI,115.217
160,HR,BA,205.132
161,HR,RS,402.278
162,RO,HU,451.942
163,RO,BG,343.348
164,RO,RS,376.109
165,BG,RO,343.348
166,BG,GR,468.094
167,BG,MK,319.678
168,BG,RS,392.709
169,BG,TR,628.284
170,GR,IT,924.944
171,GR,BG,468.094
172,GR,AL,292.284
173,GR,MK,274.872
174,GR,TR,906.187
175,IE,UK,402.047
176,LU,DE4-W,295.465
177,LU,BE,139.927
178,LU,FR,442.306
179,AL,IT,657.848
180,AL,GR,292.284
181,AL,ME,194.638
182,AL,MK,145.337
183,AL,RS,347.306
184,ME,IT,555.573
185,ME,AL,194.638
186,ME,BA,194.310
187,ME,RS,202.944
188,MK,BG,319.678
189,MK,GR,274.872
190,MK,AL,145.337
191,MK,RS,300.744
192,BA,HR,205.132
193,BA,ME,194.310
194,BA,RS,241.231
195,RS,HU,344.507
196,RS,HR,402.278
197,RS,RO,376.109
198,RS,BG,392.709
199,RS,AL,347.306
200,RS,ME,202.944
201,RS,MK,300.744
202,RS,BA,241.231
203,TR,BG,628.284
204,TR,GR,906.187
