YYY;IRRRE;IRRRI;Value
2012;DK1;DK2;509574
2012;DK1;DE4-N;568371
2012;DK1;NL;842800
2012;DK1;NO2;695800
2012;DK1;SE3;774161
2012;DK1;UK;1195600
2012;DK2;DK1;509574
2012;DK2;DE4-E;568371
2012;DK2;SE4;421379
2012;FIN;NO4;568371
2012;FIN;SE1;568371
2012;FIN;SE3;793760
2012;FIN;EE;676200
2012;DE4-E;DK2;568371
2012;DE4-E;DE4-N;568371
2012;DE4-E;DE4-S;568371
2012;DE4-E;DE4-W;568371
2012;DE4-E;SE4;842800
2012;DE4-E;PL;568371
2012;DE4-E;CZ;304054
2012;DE4-N;DK1;568371
2012;DE4-N;DE4-E;568371
2012;DE4-N;DE4-W;568371
2012;DE4-N;NO2;1185800
2012;DE4-N;SE4;842800
2012;DE4-S;DE4-E;568371
2012;DE4-S;DE4-W;568371
2012;DE4-S;BE;539000
2012;DE4-S;FR;568400
2012;DE4-S;CH;126689
2012;DE4-S;AT;487753
2012;DE4-S;CZ;430743
2012;DE4-W;DE4-E;568371
2012;DE4-W;DE4-N;568371
2012;DE4-W;DE4-S;568371
2012;DE4-W;NL;568371
2012;DE4-W;BE;568371
2012;DE4-W;LU;134659.7528
2012;NL;DK1;842800
2012;NL;DE4-W;568371
2012;NL;UK;872200
2012;NL;BE;450800
2012;NO1;NO2;509574
2012;NO1;NO3;568371
2012;NO1;NO5;519374
2012;NO1;SE3;568371
2012;NO2;DK1;695800
2012;NO2;DE4-N;1185800
2012;NO2;NO1;509574
2012;NO2;NO5;489975
2012;NO2;UK;1215200
2012;NO3;NO1;568371
2012;NO3;NO4;568371
2012;NO3;NO5;509574
2012;NO3;SE2;568371
2012;NO4;FIN;568371
2012;NO4;NO3;568371
2012;NO4;SE1;489975
2012;NO4;SE2;538973
2012;NO5;NO1;519374
2012;NO5;NO2;489975
2012;NO5;NO3;509574
2012;SE1;FIN;568371
2012;SE1;NO4;489975
2012;SE1;SE2;568371
2012;SE2;NO3;568371
2012;SE2;NO4;538973
2012;SE2;SE1;568371
2012;SE2;SE3;568371
2012;SE3;DK1;774161
2012;SE3;FIN;793760
2012;SE3;NO1;568371
2012;SE3;SE2;568371
