YYY;IRRRE;IRRRI;Value
2017;DK1;DK2;47703.19149
2017;DK1;DE4-N;58014.89362
2017;DK1;NL;84700
2017;DK1;NO2;236519.1489
2017;DK1;SE3;313353.1915
2017;DK1;UK;626348.9362
2017;DK2;DK1;47703.19149
2017;DK2;DE4-E;132052.1277
2017;DK2;SE4;100305.3191
2017;FIN;NO4;314731.9149
2017;FIN;SE1;206425.5319
2017;FIN;SE3;551540.4255
2017;FIN;EE;380323.4043
2017;DE4-E;DK2;132052.1277
2017;DE4-E;DE4-N;151736.1702
2017;DE4-E;DE4-S;59700
2017;DE4-E;DE4-W;94348.40426
2017;DE4-E;SE4;244006.383
2017;DE4-E;PL;191092.5532
2017;DE4-E;CZ;180153.1915
2017;DE4-N;DK1;58014.89362
2017;DE4-N;DE4-E;151736.1702
2017;DE4-N;DE4-W;49606.2766
2017;DE4-N;NO2;100450
2017;DE4-N;SE4;313982.9787
2017;DE4-S;DE4-E;59700
2017;DE4-S;DE4-W;52050
2017;DE4-S;BE;93247.34043
2017;DE4-S;FR;251993.617
2017;DE4-S;CH;59806.91489
2017;DE4-S;AT;82345.21277
2017;DE4-S;CZ;208034.0426
2017;DE4-S;LU;161923.4043
2017;DE4-W;DE4-E;94348.40426
2017;DE4-W;DE4-N;49606.2766
2017;DE4-W;DE4-S;186051.0638
2017;DE4-W;NL;111523.4043
2017;DE4-W;BE;65594.68085
2017;DE4-W;LU;157097.8723
2017;NL;DK1;84700
2017;NL;DE4-W;111523.4043
2017;NL;UK;86250
2017;NL;BE;53236.17021
2017;NO1;NO2;127608.5106
2017;NO1;NO3;126536.1702
2017;NO1;NO5;105625.5319
2017;NO1;SE3;144229.7872
2017;NO2;DK1;236519.1489
2017;NO2;DE4-N;100450
2017;NO2;NO1;127608.5106
2017;NO2;NO5;90076.59574
2017;NO2;UK;140875
2017;NO3;NO1;126536.1702
2017;NO3;NO4;438587.234
2017;NO3;NO5;138331.9149
2017;NO3;SE2;180153.1915
2017;NO4;FIN;314731.9149
2017;NO4;NO3;438587.234
2017;NO4;SE1;134578.7234
2017;NO4;SE2;342076.5957
2017;NO5;NO1;105625.5319
2017;NO5;NO2;90076.59574
2017;NO5;NO3;138331.9149
2017;SE1;FIN;206425.5319
2017;SE1;NO4;134578.7234
2017;SE1;SE2;223046.8085
2017;SE2;NO3;180153.1915
2017;SE2;NO4;342076.5957
2017;SE2;SE1;223046.8085
2017;SE2;SE3;238595.7447
2017;SE3;DK1;313353.1915
2017;SE3;FIN;551540.4255
2017;SE3;NO1;144229.7872
2017;SE3;SE2;238595.7447
2017;SE3;SE4;160851.0638
2017;SE3;EE;457872.3404
2017;SE3;LV;446042.5532
2017;SE4;DK2;100305.3191
2017;SE4;DE4-E;244006.383
2017;SE4;DE4-N;313982.9787
2017;SE4;SE3;160851.0638
2017;SE4;LT;454485.1064
2017;SE4;PL;405744.6809
2017;UK;DK1;626348.9362
2017;UK;NL;86250
2017;UK;NO2;140875
2017;UK;BE;110150
2017;UK;FR;512170.2128
2017;UK;IE;64275
2017;EE;FIN;380323.4043
2017;EE;SE3;457872.3404
2017;EE;LV;93073.40426
2017;LV;SE3;446042.5532
2017;LV;EE;93073.40426
2017;LV;LT;113148.9362
2017;LT;SE4;454485.1064
2017;LT;LV;113148.9362
2017;LT;PL;333685.1064
2017;PL;DE4-E;191092.5532
2017;PL;SE4;405744.6809
2017;PL;LT;333685.1064
2017;PL;CZ;169330.8511
2017;PL;SK;204280.8511
2017;BE;DE4-S;93247.34043
2017;BE;DE4-W;65594.68085
2017;BE;NL;53236.17021
2017;BE;UK;110150
2017;BE;FR;149234.0426
2017;BE;LU;20400
2017;FR;DE4-S;174759.5745
2017;FR;UK;512170.2128
2017;FR;BE;149234.0426
2017;FR;IT;482553.1915
2017;FR;CH;232697.8723
2017;FR;ES;386017.0213
2017;FR;LU;226800
2017;IT;FR;482553.1915
2017;IT;CH;213842.5532
2017;IT;AT;189360.6383
2017;IT;SI;164693.617
2017;CH;DE4-S;59806.91489
2017;CH;FR;232697.8723
2017;CH;IT;213842.5532
2017;CH;AT;245029.7872
2017;AT;DE4-S;82345.21277
2017;AT;IT;189360.6383
2017;AT;CH;245029.7872
2017;AT;CZ;87486.70213
2017;AT;SK;89495.74468
2017;AT;HU;156692.5532
2017;AT;SI;93293.61702
2017;CZ;DE4-E;180153.1915
2017;CZ;DE4-S;208034.0426
2017;CZ;PL;169330.8511
2017;CZ;AT;87486.70213
2017;CZ;SK;48600
2017;ES;FR;386017.0213
2017;ES;PT;105520.2128
2017;PT;ES;105520.2128
2017;SK;PL;204280.8511
2017;SK;AT;89495.74468
2017;SK;CZ;48600
2017;SK;HU;25950
2017;HU;AT;156542.5532
2017;HU;SK;25950
2017;HU;SI;127863.8298
2017;HU;HR;93526.59574
2017;HU;RO;67800
2017;HU;RS;146125.5319
2017;SI;IT;165293.617
2017;SI;AT;93293.61702
2017;SI;HU;127863.8298
2017;SI;HR;36944.68085
2017;HR;HU;95135.10638
2017;HR;SI;36944.68085
2017;HR;BA;109378.7234
2017;HR;RS;218221.2766
2017;RO;HU;67800
2017;RO;BG;109761.7021
2017;BG;RO;109761.7021
2017;BG;GR;206259.5745
2017;BG;MK;162995.7447
2017;BG;RS;210714.8936
2017;GR;BG;206259.5745
2017;GR;AL;138861.7021
2017;GR;MK;98004.25532
2017;IE;UK;64275
2017;LU;DE4-S;161923.4043
2017;LU;BE;20400
2017;LU;FR;226800
2017;AL;GR;138861.7021
2017;AL;MK;76136.17021
2017;AL;RS;178008.5106
2017;MK;BG;162995.7447
2017;MK;GR;98004.25532
2017;MK;AL;76136.17021
2017;MK;RS;158706.383
2017;BA;HR;109378.7234
2017;BA;RS;129217.0213
2017;RS;HU;146125.5319
2017;RS;HR;218221.2766
2017;RS;BG;210714.8936
2017;RS;AL;178008.5106
2017;RS;MK;158706.383
2017;RS;BA;129217.0213
2018;DK1;DK2;47703.19149
2018;DK1;DE4-N;58014.89362
2018;DK1;NL;84700
2018;DK1;NO2;236519.1489
2018;DK1;SE3;313353.1915
2018;DK1;UK;626348.9362
2018;DK2;DK1;47703.19149
2018;DK2;DE4-E;132052.1277
2018;DK2;SE4;100305.3191
2018;FIN;NO4;314731.9149
2018;FIN;SE1;206425.5319
2018;FIN;SE3;551540.4255
2018;FIN;EE;380323.4043
2018;DE4-E;DK2;132052.1277
2018;DE4-E;DE4-N;151736.1702
2018;DE4-E;DE4-S;59700
2018;DE4-E;DE4-W;94348.40426
2018;DE4-E;SE4;244006.383
2018;DE4-E;PL;191092.5532
