YYY;IRRRE;IRRRI;Value
2017;DK1;DK2;47703.19149
2017;DK1;DE4-N;58014.89362
2017;DK1;NL;84700
2017;DK1;NO2;236519.1489
2017;DK1;SE3;313353.1915
2017;DK1;UK;626348.9362
2017;DK2;DK1;47703.19149
2017;DK2;DE4-E;132052.1277
2017;DK2;SE4;100305.3191
2017;FIN;NO4;314731.9149
2017;FIN;SE1;206425.5319
2017;FIN;SE3;551540.4255
2017;FIN;EE;380323.4043
2017;DE4-E;DK2;132052.1277
2017;DE4-E;DE4-N;151736.1702
2017;DE4-E;DE4-S;59700
2017;DE4-E;DE4-W;94348.40426
2017;DE4-E;SE4;244006.383
2017;DE4-E;PL;191092.5532
2017;DE4-E;CZ;180153.1915
2017;DE4-N;DK1;58014.89362
2017;DE4-N;DE4-E;151736.1702
2017;DE4-N;DE4-W;49606.2766
2017;DE4-N;NO2;100450
2017;DE4-N;SE4;313982.9787
2017;DE4-S;DE4-E;59700
2017;DE4-S;DE4-W;74420.42553
2017;DE4-S;BE;139871.0106
2017;DE4-S;FR;297091.2766
2017;DE4-S;CH;71768.29787
2017;DE4-S;AT;82345.21277
2017;DE4-S;CZ;208034.0426
2017;DE4-W;DE4-E;94348.40426
2017;DE4-W;DE4-N;49606.2766
2017;DE4-W;DE4-S;74420.42553
2017;DE4-W;NL;111523.4043
2017;DE4-W;BE;98392.02128
2017;NL;DK1;84700
2017;NL;DE4-W;111523.4043
2017;NL;UK;112125
2017;NL;BE;95825.10638
2017;NO1;NO2;127608.5106
2017;NO1;NO3;126536.1702
2017;NO1;NO5;105625.5319
2017;NO1;SE3;144229.7872
2017;NO2;DK1;236519.1489
2017;NO2;DE4-N;100450
2017;NO2;NO1;127608.5106
2017;NO2;NO5;90076.59574
2017;NO2;UK;112700
2017;NO3;NO1;126536.1702
2017;NO3;NO4;438587.234
2017;NO3;NO5;138331.9149
2017;NO3;SE2;180153.1915
2017;NO4;FIN;314731.9149
2017;NO4;NO3;438587.234
2017;NO4;SE1;134578.7234
2017;NO4;SE2;342076.5957
2017;NO5;NO1;105625.5319
2017;NO5;NO2;90076.59574
2017;NO5;NO3;138331.9149
2017;SE1;FIN;206425.5319
2017;SE1;NO4;134578.7234
2017;SE1;SE2;223046.8085
2017;SE2;NO3;180153.1915
2017;SE2;NO4;342076.5957
2017;SE2;SE1;223046.8085
2017;SE2;SE3;238595.7447
2017;SE3;DK1;313353.1915
2017;SE3;FIN;551540.4255
2017;SE3;NO1;144229.7872
2017;SE3;SE2;238595.7447
2017;SE3;SE4;160851.0638
2017;SE3;EE;457872.3404
2017;SE3;LV;446042.5532
2017;SE4;DK2;100305.3191
2017;SE4;DE4-E;244006.383
2017;SE4;DE4-N;313982.9787
2017;SE4;SE3;160851.0638
2017;SE4;LT;454485.1064
2017;SE4;PL;405744.6809
2017;UK;DK1;626348.9362
2017;UK;NL;112125
2017;UK;NO2;112700
2017;UK;BE;148702.5
2017;UK;FR;512170.2128
2017;EE;FIN;380323.4043
2017;EE;SE3;457872.3404
2017;EE;LV;93073.40426
2017;LV;SE3;446042.5532
2017;LV;EE;93073.40426
2017;LV;LT;113148.9362
2017;LT;SE4;454485.1064
2017;LT;LV;113148.9362
2017;LT;PL;333685.1064
2017;PL;DE4-E;191092.5532
2017;PL;SE4;405744.6809
2017;PL;LT;333685.1064
2017;PL;CZ;169330.8511
2017;BE;DE4-S;139871.0106
2017;BE;DE4-W;98392.02128
2017;BE;NL;95825.10638
2017;BE;UK;148702.5
2017;BE;FR;129600
2017;FR;DE4-S;297091.2766
2017;FR;UK;512170.2128
2017;FR;BE;129600
2017;FR;IT;482553.1915
2017;FR;CH;302507.234
2017;FR;ES;530010.5745
2017;IT;FR;482553.1915
2017;IT;CH;213842.5532
2017;IT;AT;189360.6383
2017;CH;DE4-S;71768.29787
2017;CH;FR;302507.234
2017;CH;IT;213842.5532
2017;CH;AT;294035.7447
2017;AT;DE4-S;82345.21277
2017;AT;IT;189360.6383
2017;AT;CH;294035.7447
2017;AT;CZ;87486.70213
2017;CZ;DE4-E;180153.1915
2017;CZ;DE4-S;208034.0426
2017;CZ;PL;169330.8511
2017;CZ;AT;87486.70213
2017;ES;FR;530010.5745
2017;ES;PT;105520.2128
2017;PT;ES;105520.2128
2018;DK1;DK2;47703.19149
2018;DK1;DE4-N;58014.89362
2018;DK1;NL;84700
2018;DK1;NO2;236519.1489
2018;DK1;SE3;313353.1915
2018;DK1;UK;626348.9362
2018;DK2;DK1;47703.19149
2018;DK2;DE4-E;132052.1277
2018;DK2;SE4;100305.3191
2018;FIN;NO4;314731.9149
2018;FIN;SE1;206425.5319
2018;FIN;SE3;551540.4255
2018;FIN;EE;380323.4043
2018;DE4-E;DK2;132052.1277
2018;DE4-E;DE4-N;151736.1702
2018;DE4-E;DE4-S;59700
2018;DE4-E;DE4-W;94348.40426
2018;DE4-E;SE4;244006.383
2018;DE4-E;PL;191092.5532
2018;DE4-E;CZ;180153.1915
2018;DE4-N;DK1;58014.89362
2018;DE4-N;DE4-E;151736.1702
2018;DE4-N;DE4-W;49606.2766
2018;DE4-N;NO2;100450
2018;DE4-N;SE4;313982.9787
2018;DE4-S;DE4-E;59700
2018;DE4-S;DE4-W;74420.42553
2018;DE4-S;BE;139871.0106
2018;DE4-S;FR;297091.2766
2018;DE4-S;CH;71768.29787
2018;DE4-S;AT;82345.21277
2018;DE4-S;CZ;208034.0426
2018;DE4-W;DE4-E;94348.40426
2018;DE4-W;DE4-N;49606.2766
2018;DE4-W;DE4-S;74420.42553
2018;DE4-W;NL;111523.4043
2018;DE4-W;BE;98392.02128
2018;NL;DK1;84700
2018;NL;DE4-W;111523.4043
2018;NL;UK;112125
2018;NL;BE;95825.10638
2018;NO1;NO2;127608.5106
2018;NO1;NO3;126536.1702
2018;NO1;NO5;105625.5319
2018;NO1;SE3;144229.7872
2018;NO2;DK1;236519.1489
2018;NO2;DE4-N;100450
2018;NO2;NO1;127608.5106
2018;NO2;NO5;90076.59574
2018;NO2;UK;112700
2018;NO3;NO1;126536.1702
2018;NO3;NO4;438587.234
2018;NO3;NO5;138331.9149
2018;NO3;SE2;180153.1915
2018;NO4;FIN;314731.9149
2018;NO4;NO3;438587.234
2018;NO4;SE1;134578.7234
2018;NO4;SE2;342076.5957
2018;NO5;NO1;105625.5319
2018;NO5;NO2;90076.59574
2018;NO5;NO3;138331.9149
2018;SE1;FIN;206425.5319
2018;SE1;NO4;134578.7234
2018;SE1;SE2;223046.8085
2018;SE2;NO3;180153.1915
2018;SE2;NO4;342076.5957
