CCCRRRAAA;TECH_GROUP;SUBTECH_GROUP;Value
DK1;SOLARPV;RG1;21560.25
DK1;SOLARPV;RG2;21560.25
DK1;SOLARPV;RG3;0
ES;WINDTURBINE_ONSHORE;RG3;100500
ES;WINDTURBINE_ONSHORE;RG2;50000
PL;WINDTURBINE_ONSHORE;RG3;75000
DK1;WINDTURBINE_OFFSHORE;RG1_OFF1;240
DK1;WINDTURBINE_OFFSHORE;RG2_OFF1;70000
DK1;WINDTURBINE_OFFSHORE;RG1_OFF2;0
DK1;WINDTURBINE_OFFSHORE;RG2_OFF2;0
DK1;WINDTURBINE_OFFSHORE;RG3_OFF2;0
DK1;WINDTURBINE_OFFSHORE;RG1_OFF3;0
DK1;WINDTURBINE_OFFSHORE;RG2_OFF3;0
DK1;WINDTURBINE_OFFSHORE;RG3_OFF3;0
DK1;WINDTURBINE_OFFSHORE;RG1_OFF4;0
DK1;WINDTURBINE_OFFSHORE;RG2_OFF4;0
DK1;WINDTURBINE_OFFSHORE;RG3_OFF4;0
DK1;WINDTURBINE_OFFSHORE;RG1_OFF5;0
DK1;WINDTURBINE_OFFSHORE;RG2_OFF5;0
DK1;WINDTURBINE_OFFSHORE;RG3_OFF5;0
DK2;SOLARPV;RG1;12936.15
DK2;SOLARPV;RG2;12936.15
DK2;SOLARPV;RG3;0
UK;WINDTURBINE_ONSHORE;RG3;60000
PL;WINDTURBINE_ONSHORE;RG2;60000
TR;WINDTURBINE_ONSHORE;RG3;57000
DK2;WINDTURBINE_OFFSHORE;RG1_OFF1;200
DK2;WINDTURBINE_OFFSHORE;RG2_OFF1;15000
DK2;WINDTURBINE_OFFSHORE;RG3_OFF1;0
DK2;WINDTURBINE_OFFSHORE;RG1_OFF2;0
DK2;WINDTURBINE_OFFSHORE;RG2_OFF2;0
DK2;WINDTURBINE_OFFSHORE;RG3_OFF2;0
DK2;WINDTURBINE_OFFSHORE;RG1_OFF3;0
DK2;WINDTURBINE_OFFSHORE;RG2_OFF3;0
DK2;WINDTURBINE_OFFSHORE;RG3_OFF3;0
DK2;WINDTURBINE_OFFSHORE;RG1_OFF4;0
DK2;WINDTURBINE_OFFSHORE;RG2_OFF4;0
DK2;WINDTURBINE_OFFSHORE;RG3_OFF4;0
DK2;WINDTURBINE_OFFSHORE;RG1_OFF5;0
DK2;WINDTURBINE_OFFSHORE;RG2_OFF5;0
DK2;WINDTURBINE_OFFSHORE;RG3_OFF5;0
FIN;SOLARPV;RG1;14694.375
FIN;SOLARPV;RG2;14694.375
FIN;SOLARPV;RG3;0
ES;WINDTURBINE_ONSHORE;RG1;53500
FR;WINDTURBINE_ONSHORE;RG3;50600
UK;WINDTURBINE_ONSHORE;RG2;48000
FIN;WINDTURBINE_OFFSHORE;RG1_OFF1;0
FIN;WINDTURBINE_OFFSHORE;RG2_OFF1;34600
FIN;WINDTURBINE_OFFSHORE;RG3_OFF1;0
FIN;WINDTURBINE_OFFSHORE;RG1_OFF2;0
FIN;WINDTURBINE_OFFSHORE;RG2_OFF2;0
FIN;WINDTURBINE_OFFSHORE;RG3_OFF2;0
FIN;WINDTURBINE_OFFSHORE;RG1_OFF3;0
FIN;WINDTURBINE_OFFSHORE;RG2_OFF3;0
FIN;WINDTURBINE_OFFSHORE;RG3_OFF3;0
FIN;WINDTURBINE_OFFSHORE;RG1_OFF4;0
FIN;WINDTURBINE_OFFSHORE;RG2_OFF4;0
FIN;WINDTURBINE_OFFSHORE;RG3_OFF4;0
FIN;WINDTURBINE_OFFSHORE;RG1_OFF5;0
FIN;WINDTURBINE_OFFSHORE;RG2_OFF5;0
FIN;WINDTURBINE_OFFSHORE;RG3_OFF5;0
DE4-E;SOLARPV;RG1;59768.3025
DE4-E;SOLARPV;RG2;59768.3025
DE4-E;SOLARPV;RG3;0
TR;WINDTURBINE_ONSHORE;RG2;45600
FR;WINDTURBINE_ONSHORE;RG2;40480
IE;WINDTURBINE_ONSHORE;RG3;26794.54886
DE4-E;WINDTURBINE_OFFSHORE;RG1_OFF1;0
DE4-E;WINDTURBINE_OFFSHORE;RG2_OFF1;300
DE4-E;WINDTURBINE_OFFSHORE;RG3_OFF1;16281
DE4-E;WINDTURBINE_OFFSHORE;RG1_OFF2;0
DE4-E;WINDTURBINE_OFFSHORE;RG2_OFF2;0
DE4-E;WINDTURBINE_OFFSHORE;RG3_OFF2;0
DE4-E;WINDTURBINE_OFFSHORE;RG1_OFF3;0
DE4-E;WINDTURBINE_OFFSHORE;RG2_OFF3;0
DE4-E;WINDTURBINE_OFFSHORE;RG3_OFF3;0
DE4-E;WINDTURBINE_OFFSHORE;RG1_OFF4;0
DE4-E;WINDTURBINE_OFFSHORE;RG2_OFF4;0
