"Y";"C";"RRR";"AAA";"G";"FFF";"COMMODITY";"TECH_TYPE";"UNITS";"value";"Scenario"
"2020";"NORWAY";"NO1";"NO1_A1";"GNR_RES_WTR_NOPMP_MC-01";"WATER";"ELECTRICITY";"HYDRO-RESERVOIRS";"TWh";-0.0388019927273649;"GH2E"
"2020";"NORWAY";"NO1";"NO1_A1";"GNR_RES_WTR_NOPMP_MC-02";"WATER";"ELECTRICITY";"HYDRO-RESERVOIRS";"TWh";0.00636722743348667;"GH2E"
"2020";"NORWAY";"NO1";"NO1_A1";"GNR_RES_WTR_NOPMP_MC-03";"WATER";"ELECTRICITY";"HYDRO-RESERVOIRS";"TWh";0.0135350786266628;"GH2E"
"2020";"NORWAY";"NO1";"NO1_A1";"GNR_RES_WTR_NOPMP_MC-04";"WATER";"ELECTRICITY";"HYDRO-RESERVOIRS";"TWh";0.0281643063072571;"GH2E"
"2020";"NORWAY";"NO1";"NO1_A1";"GNR_RES_WTR_NOPMP_MC-05";"WATER";"ELECTRICITY";"HYDRO-RESERVOIRS";"TWh";0.0785165580787175;"GH2E"
"2020";"NORWAY";"NO1";"NO1_A1";"GNR_RES_WTR_NOPMP_MC-06";"WATER";"ELECTRICITY";"HYDRO-RESERVOIRS";"TWh";0.101079490157843;"GH2E"
"2020";"NORWAY";"NO1";"NO1_A1";"GNR_RES_WTR_NOPMP_MC-07";"WATER";"ELECTRICITY";"HYDRO-RESERVOIRS";"TWh";0.119435328899445;"GH2E"
"2020";"NORWAY";"NO1";"NO1_A1";"GNR_RES_WTR_NOPMP_MC-08";"WATER";"ELECTRICITY";"HYDRO-RESERVOIRS";"TWh";0.165454203332872;"GH2E"
"2020";"NORWAY";"NO1";"NO1_A1";"GNR_RES_WTR_NOPMP_MC-09";"WATER";"ELECTRICITY";"HYDRO-RESERVOIRS";"TWh";0.244435358576529;"GH2E"
"2020";"NORWAY";"NO1";"NO1_A1";"GNR_RES_WTR_NOPMP_MC-10";"WATER";"ELECTRICITY";"HYDRO-RESERVOIRS";"TWh";0.278163794367731;"GH2E"
"2020";"NORWAY";"NO1";"NO1_A1";"GNR_ROR_WTR";"WATER";"ELECTRICITY";"HYDRO-RUN-OF-RIVER";"TWh";0.145835120360199;"GH2E"
"2020";"NORWAY";"NO1";"NO1_A1";"GNR_WT_WIND_ONS_RG2";"WIND";"ELECTRICITY";"WIND-ON";"TWh";0.0901528555738086;"GH2E"
"2020";"NORWAY";"NO2";"NO2_A1";"GNR_RES_WTR_NOPMP_MC-01";"WATER";"ELECTRICITY";"HYDRO-RESERVOIRS";"TWh";-0.785040200393283;"GH2E"
"2020";"NORWAY";"NO2";"NO2_A1";"GNR_RES_WTR_NOPMP_MC-02";"WATER";"ELECTRICITY";"HYDRO-RESERVOIRS";"TWh";-1.42890289488186;"GH2E"
