"Y";"C";"RRR";"PRICE_CATEGORY";"UNITS";"value";"Scenario"
"2020";"NORWAY";"NO1";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"NORWAY";"NO2";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"NORWAY";"NO3";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"NORWAY";"NO4";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"NORWAY";"NO5";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"DENMARK";"DK1";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"DENMARK";"DK2";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"FINLAND";"FIN";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"GERMANY";"DE4-E";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"GERMANY";"DE4-N";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"GERMANY";"DE4-S";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"GERMANY";"DE4-W";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"NETHERLANDS";"NL";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"SWEDEN";"SE1";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"SWEDEN";"SE2";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"SWEDEN";"SE3";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"SWEDEN";"SE4";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"UNITED_KINGDOM";"UK";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"ESTONIA";"EE";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"LATVIA";"LV";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"LITHUANIA";"LT";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"POLAND";"PL";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"BELGIUM";"BE";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"FRANCE";"FR";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"ITALY";"IT";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"SWITZERLAND";"CH";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"AUSTRIA";"AT";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"CZECH_REPUBLIC";"CZ";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"SPAIN";"ES";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"PORTUGAL";"PT";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"SLOVAKIA";"SK";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"HUNGARY";"HU";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"SLOVENIA";"SI";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"CROATIA";"HR";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"ROMANIA";"RO";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"BULGARIA";"BG";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"GREECE";"GR";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"IRELAND";"IE";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"LUXEMBOURG";"LU";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"ALBANIA";"AL";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"MONTENEGRO";"ME";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"NORTH_MACEDONIA";"MK";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"BOSNIA_AND_HERZEGOVINA";"BA";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"SERBIA";"RS";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"MALTA";"MT";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"CYPRUS";"CY";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2025";"NORWAY";"NO1";"AVERAGE";"Money_per_MWh";21.9714242812865;"GH2E"
"2025";"NORWAY";"NO2";"AVERAGE";"Money_per_MWh";21.6838226810897;"GH2E"
"2025";"NORWAY";"NO3";"AVERAGE";"Money_per_MWh";21.4721954174905;"GH2E"
"2025";"NORWAY";"NO4";"AVERAGE";"Money_per_MWh";20.1393625192521;"GH2E"
"2025";"NORWAY";"NO5";"AVERAGE";"Money_per_MWh";21.6650733394835;"GH2E"
"2025";"DENMARK";"DK1";"AVERAGE";"Money_per_MWh";43.7569794055465;"GH2E"
"2025";"DENMARK";"DK2";"AVERAGE";"Money_per_MWh";43.1019628063749;"GH2E"
"2025";"FINLAND";"FIN";"AVERAGE";"Money_per_MWh";26.8706458180831;"GH2E"
"2025";"GERMANY";"DE4-E";"AVERAGE";"Money_per_MWh";49.4197039286438;"GH2E"
"2025";"GERMANY";"DE4-N";"AVERAGE";"Money_per_MWh";48.6451367554147;"GH2E"
"2025";"GERMANY";"DE4-S";"AVERAGE";"Money_per_MWh";54.2827644794532;"GH2E"
"2025";"GERMANY";"DE4-W";"AVERAGE";"Money_per_MWh";49.6426525503322;"GH2E"
"2025";"NETHERLANDS";"NL";"AVERAGE";"Money_per_MWh";53.2055938261472;"GH2E"
"2025";"SWEDEN";"SE1";"AVERAGE";"Money_per_MWh";23.2755089991339;"GH2E"
"2025";"SWEDEN";"SE2";"AVERAGE";"Money_per_MWh";23.8122594402552;"GH2E"
"2025";"SWEDEN";"SE3";"AVERAGE";"Money_per_MWh";25.5299764808706;"GH2E"
"2025";"SWEDEN";"SE4";"AVERAGE";"Money_per_MWh";26.0223028490136;"GH2E"
"2025";"UNITED_KINGDOM";"UK";"AVERAGE";"Money_per_MWh";42.1670204248489;"GH2E"
"2025";"ESTONIA";"EE";"AVERAGE";"Money_per_MWh";37.1263856047064;"GH2E"
"2025";"LATVIA";"LV";"AVERAGE";"Money_per_MWh";37.1505397389274;"GH2E"
"2025";"LITHUANIA";"LT";"AVERAGE";"Money_per_MWh";37.0699576375741;"GH2E"
"2025";"POLAND";"PL";"AVERAGE";"Money_per_MWh";48.5053059086254;"GH2E"
"2025";"BELGIUM";"BE";"AVERAGE";"Money_per_MWh";53.6858605365071;"GH2E"
"2025";"FRANCE";"FR";"AVERAGE";"Money_per_MWh";41.0025229311792;"GH2E"
"2025";"ITALY";"IT";"AVERAGE";"Money_per_MWh";53.3552755293181;"GH2E"
"2025";"SWITZERLAND";"CH";"AVERAGE";"Money_per_MWh";49.2623296917976;"GH2E"
"2025";"AUSTRIA";"AT";"AVERAGE";"Money_per_MWh";50.486879527819;"GH2E"
"2025";"CZECH_REPUBLIC";"CZ";"AVERAGE";"Money_per_MWh";55.7023661189357;"GH2E"
"2025";"SPAIN";"ES";"AVERAGE";"Money_per_MWh";38.4870002036451;"GH2E"
"2025";"PORTUGAL";"PT";"AVERAGE";"Money_per_MWh";39.1693033558218;"GH2E"
"2025";"SLOVAKIA";"SK";"AVERAGE";"Money_per_MWh";51.5213398852243;"GH2E"
"2025";"HUNGARY";"HU";"AVERAGE";"Money_per_MWh";54.1074651411473;"GH2E"
"2025";"SLOVENIA";"SI";"AVERAGE";"Money_per_MWh";53.6984131954826;"GH2E"
"2025";"CROATIA";"HR";"AVERAGE";"Money_per_MWh";53.4446950483507;"GH2E"
"2025";"ROMANIA";"RO";"AVERAGE";"Money_per_MWh";50.7272280753505;"GH2E"
"2025";"BULGARIA";"BG";"AVERAGE";"Money_per_MWh";50.7592657589522;"GH2E"
"2025";"GREECE";"GR";"AVERAGE";"Money_per_MWh";53.5184694379461;"GH2E"
"2025";"IRELAND";"IE";"AVERAGE";"Money_per_MWh";36.6919455178477;"GH2E"
"2025";"LUXEMBOURG";"LU";"AVERAGE";"Money_per_MWh";49.7429256711637;"GH2E"
"2025";"ALBANIA";"AL";"AVERAGE";"Money_per_MWh";51.3727755904273;"GH2E"
"2025";"MONTENEGRO";"ME";"AVERAGE";"Money_per_MWh";52.9296123361817;"GH2E"
"2025";"NORTH_MACEDONIA";"MK";"AVERAGE";"Money_per_MWh";52.2553837946626;"GH2E"
"2025";"BOSNIA_AND_HERZEGOVINA";"BA";"AVERAGE";"Money_per_MWh";54.0519158512412;"GH2E"
"2025";"SERBIA";"RS";"AVERAGE";"Money_per_MWh";54.6268125230499;"GH2E"
"2025";"MALTA";"MT";"AVERAGE";"Money_per_MWh";52.8081607395117;"GH2E"
"2025";"CYPRUS";"CY";"AVERAGE";"Money_per_MWh";53.6387580948241;"GH2E"
"2030";"NORWAY";"NO1";"AVERAGE";"Money_per_MWh";25.7289349050384;"GH2E"
"2030";"NORWAY";"NO2";"AVERAGE";"Money_per_MWh";25.4741717102208;"GH2E"
"2030";"NORWAY";"NO3";"AVERAGE";"Money_per_MWh";25.0453456219361;"GH2E"
"2030";"NORWAY";"NO4";"AVERAGE";"Money_per_MWh";22.1809700368131;"GH2E"
"2030";"NORWAY";"NO5";"AVERAGE";"Money_per_MWh";25.3840031445719;"GH2E"
"2030";"DENMARK";"DK1";"AVERAGE";"Money_per_MWh";39.0928908258117;"GH2E"
"2030";"DENMARK";"DK2";"AVERAGE";"Money_per_MWh";38.7339765287765;"GH2E"
"2030";"FINLAND";"FIN";"AVERAGE";"Money_per_MWh";29.5680686229672;"GH2E"
"2030";"GERMANY";"DE4-E";"AVERAGE";"Money_per_MWh";40.7159582514697;"GH2E"
"2030";"GERMANY";"DE4-N";"AVERAGE";"Money_per_MWh";40.1908193848079;"GH2E"
"2030";"GERMANY";"DE4-S";"AVERAGE";"Money_per_MWh";43.625928041045;"GH2E"
"2030";"GERMANY";"DE4-W";"AVERAGE";"Money_per_MWh";40.8095652273868;"GH2E"
"2030";"NETHERLANDS";"NL";"AVERAGE";"Money_per_MWh";43.9369719997185;"GH2E"
"2030";"SWEDEN";"SE1";"AVERAGE";"Money_per_MWh";25.9617703716904;"GH2E"
"2030";"SWEDEN";"SE2";"AVERAGE";"Money_per_MWh";26.5257445933901;"GH2E"
"2030";"SWEDEN";"SE3";"AVERAGE";"Money_per_MWh";28.7421852875307;"GH2E"
"2030";"SWEDEN";"SE4";"AVERAGE";"Money_per_MWh";28.9774052627267;"GH2E"
"2030";"UNITED_KINGDOM";"UK";"AVERAGE";"Money_per_MWh";39.1833596519999;"GH2E"
"2030";"ESTONIA";"EE";"AVERAGE";"Money_per_MWh";32.8084130403568;"GH2E"
"2030";"LATVIA";"LV";"AVERAGE";"Money_per_MWh";32.7196547459116;"GH2E"
"2030";"LITHUANIA";"LT";"AVERAGE";"Money_per_MWh";33.9033493606749;"GH2E"
"2030";"POLAND";"PL";"AVERAGE";"Money_per_MWh";42.1330321835475;"GH2E"
"2030";"BELGIUM";"BE";"AVERAGE";"Money_per_MWh";43.8922117060866;"GH2E"
"2030";"FRANCE";"FR";"AVERAGE";"Money_per_MWh";36.4278715639544;"GH2E"
"2030";"ITALY";"IT";"AVERAGE";"Money_per_MWh";42.5407401549722;"GH2E"
"2030";"SWITZERLAND";"CH";"AVERAGE";"Money_per_MWh";38.1550798440685;"GH2E"
"2030";"AUSTRIA";"AT";"AVERAGE";"Money_per_MWh";40.5293071607469;"GH2E"
"2030";"CZECH_REPUBLIC";"CZ";"AVERAGE";"Money_per_MWh";44.6499031510558;"GH2E"
"2030";"SPAIN";"ES";"AVERAGE";"Money_per_MWh";35.9897829495687;"GH2E"
"2030";"PORTUGAL";"PT";"AVERAGE";"Money_per_MWh";37.5098972972366;"GH2E"
"2030";"SLOVAKIA";"SK";"AVERAGE";"Money_per_MWh";42.5346262293283;"GH2E"
"2030";"HUNGARY";"HU";"AVERAGE";"Money_per_MWh";43.2332765584534;"GH2E"
"2030";"SLOVENIA";"SI";"AVERAGE";"Money_per_MWh";43.5370405268649;"GH2E"
"2030";"CROATIA";"HR";"AVERAGE";"Money_per_MWh";43.1908295867856;"GH2E"
"2030";"ROMANIA";"RO";"AVERAGE";"Money_per_MWh";42.2131880332447;"GH2E"
"2030";"BULGARIA";"BG";"AVERAGE";"Money_per_MWh";41.7533243927913;"GH2E"
