"Y";"C";"RRR";"AAA";"G";"FFF";"TECH_TYPE";"UNITS";"value";"Scenario"
"2020";"NORWAY";"NO1";"NO1_A2";"GNR_BO_COAL_E-90";"COAL";"BOILERS";"kton";97.9646185627818;"GH2E"
"2020";"NORWAY";"NO1";"NO1_A2";"GNR_BO_FUELOIL_E-90";"FUELOIL";"BOILERS";"kton";162.326613032309;"GH2E"
"2020";"NORWAY";"NO1";"NO1_A2";"GNR_BO_LNG_E-90";"LNG";"BOILERS";"kton";6.47511677106407;"GH2E"
"2020";"NORWAY";"NO1";"NO1_A2";"GNR_STEAM-REFORMING_E-70_Y-2020";"NATGAS";"STEAMREFORMING";"kton";4.93906448078271;"GH2E"
"2020";"NORWAY";"NO1";"NO1_A3";"GNR_BO_FUELOIL_E-90";"FUELOIL";"BOILERS";"kton";66.1350503346867;"GH2E"
"2020";"NORWAY";"NO1";"NO1_A3";"GNR_BO_LNG_E-90";"LNG";"BOILERS";"kton";7.78813366051206;"GH2E"
"2020";"NORWAY";"NO1";"NO1_IND-HT-NODH";"GNR_BO_COAL_E-80";"COAL";"BOILERS";"kton";318.570017310265;"GH2E"
"2020";"NORWAY";"NO1";"NO1_IND-HT-NODH";"GNR_BO_FUELOIL_E-80";"FUELOIL";"BOILERS";"kton";238.409048034767;"GH2E"
"2020";"NORWAY";"NO1";"NO1_IND-HT-NODH";"GNR_BO_FUELOIL_E-89";"FUELOIL";"BOILERS";"kton";605.713857489394;"GH2E"
"2020";"NORWAY";"NO1";"NO1_IND-HT-NODH";"GNR_BO_LIGHTOIL_E-85";"LIGHTOIL";"BOILERS";"kton";90.2251626790674;"GH2E"
"2020";"NORWAY";"NO1";"NO1_IND-HT-DH";"GNR_BO_COAL_E-80";"COAL";"BOILERS";"kton";19.4830505310166;"GH2E"
"2020";"NORWAY";"NO1";"NO1_IND-HT-DH";"GNR_BO_FUELOIL_E-80";"FUELOIL";"BOILERS";"kton";12.883874988419;"GH2E"
"2020";"NORWAY";"NO1";"NO1_IND-HT-DH";"GNR_BO_LIGHTOIL_E-85";"LIGHTOIL";"BOILERS";"kton";12.1241070062849;"GH2E"
"2020";"NORWAY";"NO1";"NO1_IND-HT-DH";"GNR_BO_NGAS_E-85";"NATGAS";"BOILERS";"kton";1.59182555972881;"GH2E"
"2020";"NORWAY";"NO1";"NO1_IND-MT-NODH";"GNR_BO_COAL_E-80";"COAL";"BOILERS";"kton";61.1755682855323;"GH2E"
"2020";"NORWAY";"NO1";"NO1_IND-MT-NODH";"GNR_BO_FUELOIL_E-80";"FUELOIL";"BOILERS";"kton";41.2622760566554;"GH2E"
"2020";"NORWAY";"NO1";"NO1_IND-MT-NODH";"GNR_BO_LIGHTOIL_E-85";"LIGHTOIL";"BOILERS";"kton";33.9898208876168;"GH2E"
"2020";"NORWAY";"NO1";"NO1_IND-MT-NODH";"GNR_BO_NGAS_E-85";"NATGAS";"BOILERS";"kton";2.4063113214617;"GH2E"
"2020";"NORWAY";"NO1";"NO1_IND-MT-DH";"GNR_BO_COAL_E-80";"COAL";"BOILERS";"kton";23.9364822191845;"GH2E"
"2020";"NORWAY";"NO1";"NO1_IND-MT-DH";"GNR_BO_FUELOIL_E-80";"FUELOIL";"BOILERS";"kton";12.1474079431307;"GH2E"
"2020";"NORWAY";"NO1";"NO1_IND-MT-DH";"GNR_BO_LIGHTOIL_E-85";"LIGHTOIL";"BOILERS";"kton";7.81798349006006;"GH2E"
"2020";"NORWAY";"NO1";"NO1_IND-MT-DH";"GNR_BO_NGAS_E-85";"NATGAS";"BOILERS";"kton";0.311090113247879;"GH2E"
"2020";"NORWAY";"NO1";"NO1_IDVU-HOTWTR";"GNR_BO_LIGHTOIL_E-92_SS-15-KW";"LIGHTOIL";"BOILERS";"kton";252.689227572498;"GH2E"
"2020";"NORWAY";"NO2";"NO2_A2";"GNR_BO_COAL_E-90";"COAL";"BOILERS";"kton";12.9463534553656;"GH2E"
"2020";"NORWAY";"NO2";"NO2_A2";"GNR_BO_FUELOIL_E-90";"FUELOIL";"BOILERS";"kton";42.6679221253419;"GH2E"
"2020";"NORWAY";"NO2";"NO2_A2";"GNR_BO_LNG_E-90";"LNG";"BOILERS";"kton";8.84180866119952;"GH2E"
"2020";"NORWAY";"NO2";"NO2_A2";"GNR_BO_NGAS_E-90";"NATGAS";"BOILERS";"kton";0.322599057108844;"GH2E"
"2020";"NORWAY";"NO2";"NO2_A2";"GNR_STEAM-REFORMING_E-70_Y-2020";"NATGAS";"STEAMREFORMING";"kton";0.677490300903488;"GH2E"
