"Y";"C";"RRR";"VARIABLE_CATEGORY";"UNITS";"value";"Scenario"
"2020";"NORWAY";"NO1";"EXOGENOUS";"TWh";0.14792353916274;"GH2E"
"2020";"NORWAY";"NO1";"ENDO_OTHERTRANS";"TWh";8.32631199814102e-05;"GH2E"
"2020";"NORWAY";"NO1";"DIST_LOSSES";"TWh";0.0022526427283666;"GH2E"
"2020";"NORWAY";"NO2";"EXOGENOUS";"TWh";0.22188530874411;"GH2E"
"2020";"NORWAY";"NO2";"ENDO_OTHERTRANS";"TWh";0.000108852177403214;"GH2E"
"2020";"NORWAY";"NO2";"DIST_LOSSES";"TWh";0.0033789640925499;"GH2E"
"2020";"NORWAY";"NO2";"ENDO_FUELCELL";"TWh";0.0109078720591499;"GH2E"
"2020";"NORWAY";"NO3";"EXOGENOUS";"TWh";0.17257746235653;"GH2E"
"2020";"NORWAY";"NO3";"ENDO_OTHERTRANS";"TWh";6.22384245755039e-05;"GH2E"
"2020";"NORWAY";"NO3";"DIST_LOSSES";"TWh";0.00262808318309436;"GH2E"
"2020";"NORWAY";"NO4";"EXOGENOUS";"TWh";0.110942654372055;"GH2E"
"2020";"NORWAY";"NO4";"ENDO_OTHERTRANS";"TWh";9.82033139350471e-05;"GH2E"
"2020";"NORWAY";"NO4";"DIST_LOSSES";"TWh";0.00168948204627495;"GH2E"
"2020";"NORWAY";"NO5";"EXOGENOUS";"TWh";0.036980884790685;"GH2E"
"2020";"NORWAY";"NO5";"ENDO_OTHERTRANS";"TWh";2.54051641049782e-05;"GH2E"
"2020";"NORWAY";"NO5";"DIST_LOSSES";"TWh";0.00056316068209165;"GH2E"
"2020";"DENMARK";"DK1";"EXOGENOUS";"TWh";0.829342682056123;"GH2E"
"2020";"DENMARK";"DK1";"ENDO_OTHERTRANS";"TWh";0.000882614818857861;"GH2E"
"2020";"DENMARK";"DK1";"DIST_LOSSES";"TWh";0.0126295839907024;"GH2E"
"2020";"DENMARK";"DK2";"EXOGENOUS";"TWh";0.829342682056123;"GH2E"
"2020";"DENMARK";"DK2";"ENDO_OTHERTRANS";"TWh";0.000882614818857778;"GH2E"
