"Y";"C";"RRR";"PRICE_CATEGORY";"UNITS";"value";"Scenario"
"2020";"NORWAY";"NO1";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"NORWAY";"NO2";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"NORWAY";"NO3";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"NORWAY";"NO4";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"NORWAY";"NO5";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"DENMARK";"DK1";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"DENMARK";"DK2";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"FINLAND";"FIN";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"GERMANY";"DE4-E";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"GERMANY";"DE4-N";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"GERMANY";"DE4-S";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"GERMANY";"DE4-W";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"NETHERLANDS";"NL";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"SWEDEN";"SE1";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"SWEDEN";"SE2";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"SWEDEN";"SE3";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"SWEDEN";"SE4";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"UNITED_KINGDOM";"UK";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"ESTONIA";"EE";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"LATVIA";"LV";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"LITHUANIA";"LT";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"POLAND";"PL";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"BELGIUM";"BE";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"FRANCE";"FR";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"ITALY";"IT";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"SWITZERLAND";"CH";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"AUSTRIA";"AT";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"CZECH_REPUBLIC";"CZ";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"SPAIN";"ES";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"PORTUGAL";"PT";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"SLOVAKIA";"SK";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"HUNGARY";"HU";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"SLOVENIA";"SI";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"CROATIA";"HR";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"ROMANIA";"RO";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"BULGARIA";"BG";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"GREECE";"GR";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"IRELAND";"IE";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"LUXEMBOURG";"LU";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"ALBANIA";"AL";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"MONTENEGRO";"ME";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"NORTH_MACEDONIA";"MK";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"BOSNIA_AND_HERZEGOVINA";"BA";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"SERBIA";"RS";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"MALTA";"MT";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2020";"CYPRUS";"CY";"AVERAGE";"Money_per_MWh";0;"GH2E"
"2025";"NORWAY";"NO1";"AVERAGE";"Money_per_MWh";44.4632815819357;"GH2E"
"2025";"NORWAY";"NO2";"AVERAGE";"Money_per_MWh";45.8022001256511;"GH2E"
"2025";"NORWAY";"NO3";"AVERAGE";"Money_per_MWh";45.9924403500599;"GH2E"
"2025";"NORWAY";"NO4";"AVERAGE";"Money_per_MWh";43.514618017006;"GH2E"
"2025";"NORWAY";"NO5";"AVERAGE";"Money_per_MWh";44.8236814872415;"GH2E"
"2025";"DENMARK";"DK1";"AVERAGE";"Money_per_MWh";64.7654116075231;"GH2E"
"2025";"DENMARK";"DK2";"AVERAGE";"Money_per_MWh";64.7408516053124;"GH2E"
"2025";"FINLAND";"FIN";"AVERAGE";"Money_per_MWh";51.8740283636765;"GH2E"
"2025";"GERMANY";"DE4-E";"AVERAGE";"Money_per_MWh";50.3730682655809;"GH2E"
"2025";"GERMANY";"DE4-N";"AVERAGE";"Money_per_MWh";84.1437942188499;"GH2E"
"2025";"GERMANY";"DE4-S";"AVERAGE";"Money_per_MWh";55.2349767246299;"GH2E"
"2025";"GERMANY";"DE4-W";"AVERAGE";"Money_per_MWh";55.23497672463;"GH2E"
"2025";"NETHERLANDS";"NL";"AVERAGE";"Money_per_MWh";94.4799444963084;"GH2E"
"2025";"SWEDEN";"SE1";"AVERAGE";"Money_per_MWh";37.7757053901925;"GH2E"
"2025";"SWEDEN";"SE2";"AVERAGE";"Money_per_MWh";38.5942803094226;"GH2E"
"2025";"SWEDEN";"SE3";"AVERAGE";"Money_per_MWh";41.2138963917956;"GH2E"
"2025";"SWEDEN";"SE4";"AVERAGE";"Money_per_MWh";41.9647220756938;"GH2E"
"2025";"UNITED_KINGDOM";"UK";"AVERAGE";"Money_per_MWh";55.2133687940483;"GH2E"
"2025";"ESTONIA";"EE";"AVERAGE";"Money_per_MWh";55.2349767246304;"GH2E"
"2025";"LATVIA";"LV";"AVERAGE";"Money_per_MWh";55.2349767246299;"GH2E"
"2025";"LITHUANIA";"LT";"AVERAGE";"Money_per_MWh";55.3159372353916;"GH2E"
"2025";"POLAND";"PL";"AVERAGE";"Money_per_MWh";49.9695849687655;"GH2E"
"2025";"BELGIUM";"BE";"AVERAGE";"Money_per_MWh";94.7555162967862;"GH2E"
"2025";"FRANCE";"FR";"AVERAGE";"Money_per_MWh";43.6901975379859;"GH2E"
"2025";"ITALY";"IT";"AVERAGE";"Money_per_MWh";49.7289254113346;"GH2E"
"2025";"SWITZERLAND";"CH";"AVERAGE";"Money_per_MWh";55.2349767246303;"GH2E"
"2025";"AUSTRIA";"AT";"AVERAGE";"Money_per_MWh";50.0512733529336;"GH2E"
"2025";"CZECH_REPUBLIC";"CZ";"AVERAGE";"Money_per_MWh";55.2349767246302;"GH2E"
"2025";"SPAIN";"ES";"AVERAGE";"Money_per_MWh";45.3794787573576;"GH2E"
"2025";"PORTUGAL";"PT";"AVERAGE";"Money_per_MWh";45.773776039653;"GH2E"
"2025";"SLOVAKIA";"SK";"AVERAGE";"Money_per_MWh";87.4302715697792;"GH2E"
"2025";"HUNGARY";"HU";"AVERAGE";"Money_per_MWh";91.1492836820931;"GH2E"
"2025";"SLOVENIA";"SI";"AVERAGE";"Money_per_MWh";89.5964218129089;"GH2E"
"2025";"CROATIA";"HR";"AVERAGE";"Money_per_MWh";90.0982000175975;"GH2E"
"2025";"ROMANIA";"RO";"AVERAGE";"Money_per_MWh";87.1380979579105;"GH2E"
"2025";"BULGARIA";"BG";"AVERAGE";"Money_per_MWh";85.7511482494704;"GH2E"
"2025";"GREECE";"GR";"AVERAGE";"Money_per_MWh";92.5732009949364;"GH2E"
"2025";"IRELAND";"IE";"AVERAGE";"Money_per_MWh";68.4639529560251;"GH2E"
"2025";"LUXEMBOURG";"LU";"AVERAGE";"Money_per_MWh";85.2655435976913;"GH2E"
"2025";"ALBANIA";"AL";"AVERAGE";"Money_per_MWh";91.2011374038541;"GH2E"
"2025";"MONTENEGRO";"ME";"AVERAGE";"Money_per_MWh";92.5066908509966;"GH2E"
"2025";"NORTH_MACEDONIA";"MK";"AVERAGE";"Money_per_MWh";91.3466651774879;"GH2E"
"2025";"BOSNIA_AND_HERZEGOVINA";"BA";"AVERAGE";"Money_per_MWh";94.0194261798388;"GH2E"
"2025";"SERBIA";"RS";"AVERAGE";"Money_per_MWh";94.9182252612667;"GH2E"
"2025";"MALTA";"MT";"AVERAGE";"Money_per_MWh";37.913505114083;"GH2E"
"2025";"CYPRUS";"CY";"AVERAGE";"Money_per_MWh";34.9426284648837;"GH2E"
"2030";"NORWAY";"NO1";"AVERAGE";"Money_per_MWh";46.5784029592552;"GH2E"
"2030";"NORWAY";"NO2";"AVERAGE";"Money_per_MWh";47.5110817247079;"GH2E"
"2030";"NORWAY";"NO3";"AVERAGE";"Money_per_MWh";45.8302069045644;"GH2E"
"2030";"NORWAY";"NO4";"AVERAGE";"Money_per_MWh";42.614466671202;"GH2E"
"2030";"NORWAY";"NO5";"AVERAGE";"Money_per_MWh";46.8473744333231;"GH2E"
"2030";"DENMARK";"DK1";"AVERAGE";"Money_per_MWh";48.1601385003658;"GH2E"
"2030";"DENMARK";"DK2";"AVERAGE";"Money_per_MWh";48.0491997036445;"GH2E"
"2030";"FINLAND";"FIN";"AVERAGE";"Money_per_MWh";44.8276844565991;"GH2E"
"2030";"GERMANY";"DE4-E";"AVERAGE";"Money_per_MWh";49.149541317392;"GH2E"
"2030";"GERMANY";"DE4-N";"AVERAGE";"Money_per_MWh";48.6766645603301;"GH2E"
"2030";"GERMANY";"DE4-S";"AVERAGE";"Money_per_MWh";49.5602080352838;"GH2E"
"2030";"GERMANY";"DE4-W";"AVERAGE";"Money_per_MWh";49.2227162987422;"GH2E"
"2030";"NETHERLANDS";"NL";"AVERAGE";"Money_per_MWh";49.0462843246947;"GH2E"
"2030";"SWEDEN";"SE1";"AVERAGE";"Money_per_MWh";43.3269254602442;"GH2E"
"2030";"SWEDEN";"SE2";"AVERAGE";"Money_per_MWh";44.5174932277188;"GH2E"
"2030";"SWEDEN";"SE3";"AVERAGE";"Money_per_MWh";46.1107925395108;"GH2E"
"2030";"SWEDEN";"SE4";"AVERAGE";"Money_per_MWh";47.2931977067793;"GH2E"
"2030";"UNITED_KINGDOM";"UK";"AVERAGE";"Money_per_MWh";47.9371962670361;"GH2E"
"2030";"ESTONIA";"EE";"AVERAGE";"Money_per_MWh";47.5724062099208;"GH2E"
"2030";"LATVIA";"LV";"AVERAGE";"Money_per_MWh";48.2966509873025;"GH2E"
"2030";"LITHUANIA";"LT";"AVERAGE";"Money_per_MWh";49.0287164262601;"GH2E"
"2030";"POLAND";"PL";"AVERAGE";"Money_per_MWh";49.8070619973743;"GH2E"
"2030";"BELGIUM";"BE";"AVERAGE";"Money_per_MWh";49.1962740116721;"GH2E"
"2030";"FRANCE";"FR";"AVERAGE";"Money_per_MWh";48.3954599003774;"GH2E"
"2030";"ITALY";"IT";"AVERAGE";"Money_per_MWh";49.6980241652564;"GH2E"
"2030";"SWITZERLAND";"CH";"AVERAGE";"Money_per_MWh";49.6721602401386;"GH2E"
"2030";"AUSTRIA";"AT";"AVERAGE";"Money_per_MWh";50.1897954480781;"GH2E"
"2030";"CZECH_REPUBLIC";"CZ";"AVERAGE";"Money_per_MWh";50.4697902436921;"GH2E"
"2030";"SPAIN";"ES";"AVERAGE";"Money_per_MWh";50.0721508201879;"GH2E"
"2030";"PORTUGAL";"PT";"AVERAGE";"Money_per_MWh";49.2290370510225;"GH2E"
"2030";"SLOVAKIA";"SK";"AVERAGE";"Money_per_MWh";51.0725492286265;"GH2E"
"2030";"HUNGARY";"HU";"AVERAGE";"Money_per_MWh";51.4002773251112;"GH2E"
"2030";"SLOVENIA";"SI";"AVERAGE";"Money_per_MWh";50.8615539843585;"GH2E"
"2030";"CROATIA";"HR";"AVERAGE";"Money_per_MWh";51.2029531929232;"GH2E"
"2030";"ROMANIA";"RO";"AVERAGE";"Money_per_MWh";52.0855281097895;"GH2E"
"2030";"BULGARIA";"BG";"AVERAGE";"Money_per_MWh";52.8125991716265;"GH2E"
