"Y";"C";"IRRRE";"IRRRI";"VARIABLE_CATEGORY";"UNITS";"value";"Scenario"
"2030";"NORWAY";"NO1";"NO2";"ENDOGENOUS";"GW";0.403616100928436;"GH2E"
"2030";"NORWAY";"NO1";"NO3";"ENDOGENOUS";"GW";0.0281966410453202;"GH2E"
"2030";"NORWAY";"NO1";"NO5";"ENDOGENOUS";"GW";0.00288302646789886;"GH2E"
"2030";"NORWAY";"NO1";"SE3";"ENDOGENOUS";"GW";0.0358688961024489;"GH2E"
"2030";"NORWAY";"NO2";"DE4-N";"ENDOGENOUS";"GW";1.86423535021578;"GH2E"
"2030";"NORWAY";"NO2";"NO1";"ENDOGENOUS";"GW";0.403616100928436;"GH2E"
"2030";"NORWAY";"NO2";"NO5";"ENDOGENOUS";"GW";0.471429515324234;"GH2E"
"2030";"NORWAY";"NO3";"NO1";"ENDOGENOUS";"GW";0.0281966410453202;"GH2E"
"2030";"NORWAY";"NO3";"NO4";"ENDOGENOUS";"GW";0.366803786854959;"GH2E"
"2030";"NORWAY";"NO3";"NO5";"ENDOGENOUS";"GW";0.405809043511146;"GH2E"
"2030";"NORWAY";"NO3";"SE2";"ENDOGENOUS";"GW";0.107487912821634;"GH2E"
"2030";"NORWAY";"NO4";"FIN";"ENDOGENOUS";"GW";0.0340254375047112;"GH2E"
"2030";"NORWAY";"NO4";"NO3";"ENDOGENOUS";"GW";0.366803786854959;"GH2E"
"2030";"NORWAY";"NO5";"NO1";"ENDOGENOUS";"GW";0.00288302646789886;"GH2E"
"2030";"NORWAY";"NO5";"NO2";"ENDOGENOUS";"GW";0.471429515324234;"GH2E"
"2030";"NORWAY";"NO5";"NO3";"ENDOGENOUS";"GW";0.405809043511146;"GH2E"
"2030";"DENMARK";"DK1";"DK2";"ENDOGENOUS";"GW";1.54661004418931;"GH2E"
"2030";"DENMARK";"DK1";"DE4-N";"ENDOGENOUS";"GW";0.533307592928992;"GH2E"
"2030";"DENMARK";"DK1";"NL";"ENDOGENOUS";"GW";2.09491214195242;"GH2E"
"2030";"DENMARK";"DK1";"SE3";"ENDOGENOUS";"GW";0.766873622410646;"GH2E"
"2030";"DENMARK";"DK2";"DK1";"ENDOGENOUS";"GW";1.54661004418931;"GH2E"
"2030";"DENMARK";"DK2";"DE4-E";"ENDOGENOUS";"GW";3.15722129594367;"GH2E"
"2030";"DENMARK";"DK2";"SE4";"ENDOGENOUS";"GW";3.17500645897391;"GH2E"
"2030";"FINLAND";"FIN";"NO4";"ENDOGENOUS";"GW";0.0340254375047112;"GH2E"
"2030";"FINLAND";"FIN";"SE1";"ENDOGENOUS";"GW";0.267351313236762;"GH2E"
"2030";"FINLAND";"FIN";"EE";"ENDOGENOUS";"GW";0.106544302670318;"GH2E"
"2030";"GERMANY";"DE4-E";"DK2";"ENDOGENOUS";"GW";3.15722129594367;"GH2E"
"2030";"GERMANY";"DE4-E";"DE4-S";"ENDOGENOUS";"GW";2.26506726228488;"GH2E"
"2030";"GERMANY";"DE4-E";"PL";"ENDOGENOUS";"GW";0.228243341619699;"GH2E"
