"Y";"C";"IRRRE";"IRRRI";"VARIABLE_CATEGORY";"UNITS";"value";"Scenario"
"2020";"NORWAY";"NO1";"NO2";"EXOGENOUS";"GW";2.2;"GH2E"
"2020";"NORWAY";"NO1";"NO3";"EXOGENOUS";"GW";0.5;"GH2E"
"2020";"NORWAY";"NO1";"NO5";"EXOGENOUS";"GW";0.6;"GH2E"
"2020";"NORWAY";"NO1";"SE3";"EXOGENOUS";"GW";2.145;"GH2E"
"2020";"NORWAY";"NO2";"DK1";"EXOGENOUS";"GW";1.632;"GH2E"
"2020";"NORWAY";"NO2";"DE4-N";"EXOGENOUS";"GW";1.4;"GH2E"
"2020";"NORWAY";"NO2";"NL";"EXOGENOUS";"GW";0.7;"GH2E"
"2020";"NORWAY";"NO2";"NO1";"EXOGENOUS";"GW";3.5;"GH2E"
"2020";"NORWAY";"NO2";"NO5";"EXOGENOUS";"GW";1.5;"GH2E"
"2020";"NORWAY";"NO3";"NO1";"EXOGENOUS";"GW";0.5;"GH2E"
"2020";"NORWAY";"NO3";"NO4";"EXOGENOUS";"GW";0.4;"GH2E"
"2020";"NORWAY";"NO3";"NO5";"EXOGENOUS";"GW";0.9;"GH2E"
"2020";"NORWAY";"NO3";"SE2";"EXOGENOUS";"GW";0.6;"GH2E"
"2020";"NORWAY";"NO4";"NO3";"EXOGENOUS";"GW";1.2;"GH2E"
"2020";"NORWAY";"NO4";"SE1";"EXOGENOUS";"GW";0.7;"GH2E"
"2020";"NORWAY";"NO4";"SE2";"EXOGENOUS";"GW";0.25;"GH2E"
"2020";"NORWAY";"NO5";"NO1";"EXOGENOUS";"GW";3.9;"GH2E"
"2020";"NORWAY";"NO5";"NO2";"EXOGENOUS";"GW";1.6;"GH2E"
"2020";"NORWAY";"NO5";"NO3";"EXOGENOUS";"GW";0.9;"GH2E"
"2020";"DENMARK";"DK1";"DK2";"EXOGENOUS";"GW";0.59;"GH2E"
"2020";"DENMARK";"DK1";"DE4-N";"EXOGENOUS";"GW";2.52;"GH2E"
"2020";"DENMARK";"DK1";"NL";"EXOGENOUS";"GW";0.7;"GH2E"
"2020";"DENMARK";"DK1";"NO2";"EXOGENOUS";"GW";1.632;"GH2E"
"2020";"DENMARK";"DK1";"SE3";"EXOGENOUS";"GW";0.74;"GH2E"
"2020";"DENMARK";"DK2";"DK1";"EXOGENOUS";"GW";0.6;"GH2E"
"2020";"DENMARK";"DK2";"DE4-E";"EXOGENOUS";"GW";0.985;"GH2E"
"2020";"DENMARK";"DK2";"SE4";"EXOGENOUS";"GW";1.7;"GH2E"
"2020";"FINLAND";"FIN";"SE1";"EXOGENOUS";"GW";1.1;"GH2E"
"2020";"FINLAND";"FIN";"SE3";"EXOGENOUS";"GW";1.2;"GH2E"
"2020";"FINLAND";"FIN";"EE";"EXOGENOUS";"GW";1.016;"GH2E"
"2020";"GERMANY";"DE4-E";"DK2";"EXOGENOUS";"GW";1;"GH2E"
"2020";"GERMANY";"DE4-E";"DE4-N";"EXOGENOUS";"GW";3.01;"GH2E"
"2020";"GERMANY";"DE4-E";"DE4-S";"EXOGENOUS";"GW";3.01;"GH2E"
"2020";"GERMANY";"DE4-E";"DE4-W";"EXOGENOUS";"GW";6.02;"GH2E"
"2020";"GERMANY";"DE4-E";"PL";"EXOGENOUS";"GW";0.5;"GH2E"
"2020";"GERMANY";"DE4-E";"CZ";"EXOGENOUS";"GW";0.75;"GH2E"
"2020";"GERMANY";"DE4-N";"DK1";"EXOGENOUS";"GW";2.5;"GH2E"
"2020";"GERMANY";"DE4-N";"DE4-E";"EXOGENOUS";"GW";3.01;"GH2E"
"2020";"GERMANY";"DE4-N";"DE4-W";"EXOGENOUS";"GW";8.634;"GH2E"
"2020";"GERMANY";"DE4-N";"NO2";"EXOGENOUS";"GW";1.4;"GH2E"
"2020";"GERMANY";"DE4-N";"SE4";"EXOGENOUS";"GW";0.6;"GH2E"
"2020";"GERMANY";"DE4-S";"DE4-E";"EXOGENOUS";"GW";3.01;"GH2E"
"2020";"GERMANY";"DE4-S";"DE4-W";"EXOGENOUS";"GW";14.416;"GH2E"
"2020";"GERMANY";"DE4-S";"FR";"EXOGENOUS";"GW";2.3;"GH2E"
"2020";"GERMANY";"DE4-S";"CH";"EXOGENOUS";"GW";2.7;"GH2E"
